,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
gas_CHP_gen [MWh],-0.0,-0.0,-0.0,62390832.6,-0.0,-0.0,57306826.5,-0.0,-0.0,49789588.8,57590402.1,47256971.1,52798726.5,-0.0,62540343.3,62554401.0,-0.0,-0.0,68168942.1,52623191.1,-0.0,52800604.8,-0.0,59204190.3,59278024.5,57601536.6,62532531.0,-0.0,57598049.1,44729397.6,68190154.2,49821973.2,49766359.5,62492456.7,-0.0,48922430.1,61134815.1,62532186.3,44909808.6,-0.0,44905562.1,60955887.6,-0.0,61099429.2,-0.0,49641330.9,59277145.5,-0.0,-0.0,52689758.7,-0.0,59265255.9,-0.0,59189757.6,-0.0,52797687.9,62504296.8,-0.0,-0.0,49776913.5,57447934.2,47933251.2,-0.0,49817419.5,61017485.1,49708320.0,45217977.9,68147708.7,62473472.1,68172187.5,62526719.7,60883087.2,68300474.4,44799399.6,62536455.0
biomass_CHP_CC_gen [MWh],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,37567.8,-0.0,-0.0,-0.0,28944.6,2620745.4,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,10381597.5,-0.0,-0.0,-0.0,-0.0,117315.9,90007.2,16794.6,-0.0,-0.0,22386.0,11988.0,10110365.7,-0.0,-0.0,-0.0,-0.0,3536251.8,-0.0,-0.0,13401.9,-0.0,22684.8,-0.0,-0.0,-0.0,-0.0,4026203.7,124818.9,-0.0,-0.0,-0.0,-0.0,88821.9,-0.0,122124.9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,32370.0,3038616.3,-0.0,-0.0,-0.0,3936801.0,25776.9,10372556.7,-0.0,10359578.1,-0.0,-0.0,10303085.7,14372.4,-0.0
biomass_CHP_gen [MWh],-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,139200705.9,-0.0,-0.0,-0.0,139209242.1,136317170.7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,127660817.1,-0.0,-0.0,-0.0,-0.0,139685508.6,139714430.7,139223236.2,-0.0,-0.0,139216660.8,139810212.6,127963348.2,-0.0,-0.0,-0.0,-0.0,135296196.6,-0.0,-0.0,139735866.0,-0.0,139750648.5,-0.0,-0.0,-0.0,-0.0,134749541.7,139686545.4,-0.0,-0.0,-0.0,-0.0,139713855.6,-0.0,139681010.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,139206240.0,135851173.2,-0.0,-0.0,-0.0,134849384.7,139690178.4,127670989.5,-0.0,127685382.0,-0.0,-0.0,127748389.2,139791979.5,-0.0
onwind_gen [MWh],346297936.2,411230787.3,407898591.0,938272000.5,396832359.6,406132578.6,2406487489.5,413118579.6,346541157.6,956509611.3,2408470488.3,2874005918.4,1164413873.4,425941236.6,943800944.7,1079707508.1,352827456.3,348804474.6,2449098810.3,1181077854.0,346357327.8,1172700553.8,415763610.0,2738319870.6,2741546054.4,2409237824.1,1079711916.6,416814402.9,2409121592.4,2450639429.4,2449982103.0,951829851.0,952433121.0,935619993.9,351096341.4,2869912746.3,1105480324.8,1079789434.2,2449197914.1,419586330.0,2449964694.9,1102159460.7,346312666.5,1105012048.5,411940167.6,2873913219.9,2737918206.0,343434033.6,410676925.5,1178920606.8,430051694.7,2741079801.6,340655780.4,2738821958.4,429198043.2,1169640764.1,941776776.3,405271496.4,346232412.0,954250734.0,2407715248.5,2871270392.4,411041220.6,951553738.8,1102721442.9,2870154189.0,2447474683.2,2446092865.5,936448404.6,2449538489.7,1080109598.1,1101244108.5,2448686279.1,2450557018.2,1080074329.5
offwind_gen [MWh],832135258.5,820747251.0,670953315.9,1072089633.6,818917878.6,669903505.5,1892487320.1,671356369.5,832767006.3,1021524261.0,1892825493.3,1625996848.2,1131917581.8,861458239.2,1066572879.9,1104430295.4,777441054.6,777538771.8,1513325344.5,1128525271.5,832397645.4,1134028675.5,671518029.0,1525761750.9,1518332683.8,1890472870.8,1106901488.7,671789402.1,1890420467.7,1322805454.5,1514830454.7,1021569270.9,1021645581.3,1066693263.9,777588339.6,1637132537.1,1093815282.6,1106702838.6,1319164145.7,861277530.3,1321752742.2,1094232915.6,832678992.9,1092647769.3,820208511.9,1625647916.4,1527740651.7,777341372.4,821008207.8,1133585938.5,861859716.0,1518677781.3,777308439.9,1525838890.2,861756887.1,1128006975.0,1070300565.0,820056539.1,832164877.8,1021165426.5,1892464961.4,1631792634.0,860731773.6,1021401342.0,1093912496.1,1635083969.4,1322083142.7,1521680365.2,1072000658.1,1513360085.1,1107408212.7,1093063285.8,1514362622.4,1321315857.3,1106973933.6
solar_gen [MWh],902075186.1,858852084.0,1004354643.0,1797394910.4,864743363.1,1004765347.5,2845943516.1,1003602111.9,901520601.3,1808622038.1,2845879272.6,2751662176.8,1525182631.2,808779571.2,1798304927.4,1563631760.1,965756547.6,966530234.1,3305363038.5,1524300602.7,901880596.5,1523813267.1,1002970374.9,2994204903.9,2996881092.3,2848505428.5,1562195232.3,1002649656.0,2847400500.9,3416347927.8,3305496898.2,1809199884.6,1809249903.9,1800281568.9,965970729.3,2744567861.1,1611819215.4,1562353140.3,3417854102.7,811051684.2,3417112135.5,1612175186.4,901736182.5,1612494501.3,858844191.6,2744308079.1,2994035856.0,968336991.6,858974401.8,1522489072.8,807677787.3,2996469974.7,968911306.8,2993852442.3,807888461.7,1526491800.6,1797161062.5,861777146.4,902099312.4,1809110020.2,2845729611.9,2748013938.0,812919676.2,1809518501.4,1612275090.9,2743604446.8,3415806232.5,3304025456.7,1798037575.5,3305221671.6,1561845946.8,1612973163.6,3305987169.9,3417642562.5,1562126756.1
hydro_gen [MWh],513953261.7,515939229.9,511411867.5,510301924.5,515869834.5,511388522.4,515726045.4,511402640.4,513958540.5,510878112.6,515494566.0,513682338.3,513295088.7,512748050.7,511236138.6,515956507.8,511021205.4,510985674.0,511298423.1,513541864.2,513957274.8,512862417.0,511374807.9,513962134.2,514613303.1,515962052.1,515729831.7,511405547.4,515897305.8,511347919.2,511349302.8,510715675.5,510740231.1,511202731.2,510971970.3,512945987.4,513763512.6,515738738.1,511223794.2,512727706.2,510853561.8,513709364.1,513977345.4,514055628.6,515896025.7,513766935.0,514084228.8,511031713.5,515915883.3,512805335.7,512759467.5,514602908.4,511025352.3,513952036.2,512760686.1,513704154.0,510697004.1,515839014.0,513965825.4,511064856.9,515561782.5,513381787.8,512698770.6,511001710.8,513853376.7,513140035.5,510665827.5,509919723.0,510292005.0,511297240.2,515537965.5,513913125.0,511253598.9,511159014.0,515626764.9
tot_gen [MWh],2792.357,2806.202,2796.934,4761.773,2795.767,2794.571,7907.811,2801.857,2792.689,4713.359,7909.092,7987.132,4776.659,2803.745,4762.85,4702.188,2804.995,2801.942,8018.211,4787.666,2792.489,4784.52,2804.074,8002.621,8001.652,7909.38,4703.024,2805.141,7908.824,7913.844,8020.198,4709.838,4710.417,4757.856,2803.646,7988.765,4753.242,4703.061,7911.648,2799.497,7913.388,4750.926,2792.594,4752.667,2806.387,7983.15,8004.055,2798.119,2806.003,4788.243,2807.148,8001.174,2795.851,8002.878,2806.387,4779.46,4763.102,2802.299,2792.352,4711.718,7908.554,7987.352,2792.277,4709.996,4751.412,7987.476,7911.105,8020.916,4760.786,8018.483,4703.378,4749.835,8019.196,7913.799,4703.249
cap_onwind [GW],129.646,176.289,178.137,347.735,173.967,178.444,1083.115,178.03,129.676,396.399,1083.612,1010.834,421.115,149.439,348.342,487.541,128.162,127.475,908.72,423.194,129.619,422.054,178.153,1012.951,1012.226,1083.921,487.505,178.187,1083.932,979.632,908.332,396.089,396.215,347.307,127.85,1009.35,415.649,487.519,978.452,148.945,979.089,415.347,129.642,415.577,176.322,1008.48,1012.604,126.857,175.973,422.962,149.432,1012.389,126.546,1013.111,149.535,421.66,348.287,174.834,129.658,396.297,1083.168,1009.997,148.896,396.089,415.324,1008.235,978.05,908.298,347.438,908.842,487.504,415.087,908.354,979.526,487.512
cap_offwind [GW],204.096,215.162,175.555,265.211,215.185,175.34,470.659,175.577,204.233,266.6,470.642,367.615,261.547,200.367,265.152,294.993,194.734,194.927,367.575,261.12,204.171,261.389,175.541,365.496,365.739,470.881,294.999,175.524,470.777,338.666,368.031,266.681,266.675,265.256,194.839,368.399,266.145,295.001,337.762,200.357,337.813,266.204,204.21,266.188,215.078,369.008,365.819,194.972,215.286,261.208,200.356,365.705,195.123,365.439,200.368,261.544,265.188,215.236,204.09,266.65,470.607,367.999,200.37,266.688,266.252,368.489,337.724,367.881,265.223,367.578,294.995,266.164,367.767,338.232,295.005
cap_solar [GW],848.146,821.559,893.263,1620.67,826.941,893.497,2666.208,892.826,847.58,1598.92,2666.59,2480.888,1395.223,742.664,1618.916,1479.935,877.291,877.928,2928.699,1392.679,847.953,1394.769,892.442,2770.208,2770.805,2667.343,1479.962,892.051,2666.668,2999.085,2928.542,1599.902,1599.822,1621.438,877.477,2476.334,1511.618,1479.989,3000.137,744.792,3000.769,1512.255,847.766,1511.653,821.667,2472.164,2770.186,879.409,821.652,1393.173,742.032,2770.432,879.959,2769.836,742.128,1394.94,1619.451,824.186,848.147,1599.198,2666.425,2478.464,746.499,1599.931,1512.199,2474.135,2999.206,2928.448,1621.401,2928.515,1479.974,1512.612,2929.114,3000.584,1479.982
cap_hydro [GW],142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191,142.191
cap_gas_OCGT [GW],58.917,69.688,57.079,29.203,76.796,57.71,33.755,55.538,58.818,45.506,29.553,48.753,36.921,64.708,26.005,34.647,83.258,84.895,48.365,31.459,58.878,33.592,54.834,34.703,33.911,25.957,34.687,54.403,27.553,50.027,44.675,48.476,47.935,30.299,83.862,54.749,19.146,34.696,63.525,65.597,57.405,20.065,58.847,19.26,69.496,63.677,33.215,86.743,69.928,32.116,64.052,34.492,87.559,35.164,64.187,35.25,27.122,72.92,58.918,46.622,32.752,51.437,66.762,48.415,19.85,59.749,73.27,48.399,30.04,48.124,34.704,20.771,46.943,53.103,34.688
cap_gas_CCGT [GW],42.888,38.373,40.625,9.579,38.804,40.729,0.347,40.57,42.903,4.767,0.34,1.707,7.888,36.649,9.58,5.862,39.644,40.044,0.372,7.865,42.892,7.822,40.499,1.577,1.552,0.337,5.865,40.484,0.339,0.401,0.372,4.706,4.707,9.571,39.855,1.998,8.058,5.866,0.439,36.841,0.436,8.12,42.891,8.101,38.338,2.078,1.581,40.012,38.492,7.853,36.288,1.551,40.007,1.569,36.385,7.857,9.567,38.606,42.887,4.744,0.346,1.851,37.071,4.71,8.1,2.122,0.444,0.38,9.571,0.373,5.865,8.141,0.372,0.42,5.856
cap_coal [GW],0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.001
cap_nuclear [GW],0.0,0.0,0.0,0.009,0.0,0.0,5.472,0.0,0.0,0.004,5.391,2.624,0.004,0.0,0.001,0.011,0.0,0.0,2.567,0.003,0.0,0.004,0.0,2.678,2.673,5.281,0.019,0.0,5.357,2.504,2.567,0.004,0.003,0.001,0.0,2.636,0.005,0.017,2.495,0.0,2.502,0.006,0.0,0.012,0.0,2.634,2.682,0.0,0.0,0.004,0.0,2.673,0.0,2.678,0.0,0.001,0.006,0.0,0.0,0.005,5.456,2.634,0.0,0.005,0.008,2.636,2.497,2.574,0.007,2.567,0.016,0.007,2.566,2.502,0.015
cap_gas_CHP_CC [GW],0.0,0.0,0.0,86.378,0.0,0.0,0.003,0.0,0.0,81.706,0.002,0.0,83.491,0.0,86.051,86.541,0.0,0.0,0.0,83.295,0.0,83.416,0.0,0.001,0.0,0.001,86.542,0.0,0.002,0.001,0.0,81.874,81.861,86.462,0.0,0.002,75.617,86.543,0.001,0.0,0.002,75.712,0.0,75.626,0.0,0.0,0.002,0.0,0.0,83.322,0.0,0.0,0.0,0.001,0.0,83.48,86.155,0.0,0.0,81.783,0.002,0.001,0.0,81.874,75.687,0.001,0.002,0.001,86.442,0.0,86.544,75.729,0.0,0.001,86.543
cap_gas_CHP [GW],0.0,0.0,0.0,70.864,0.0,0.0,88.999,0.0,0.0,60.308,90.076,72.688,63.391,0.0,71.106,70.192,0.0,0.0,95.788,63.346,0.0,63.496,0.0,82.245,82.336,90.491,70.157,0.0,90.359,75.175,95.728,60.459,60.406,71.046,0.0,75.196,70.08,70.159,74.998,0.0,75.384,69.895,0.0,70.051,0.0,76.283,82.323,0.0,0.0,63.488,0.0,82.33,0.0,82.2,0.0,63.517,71.011,0.0,0.0,60.374,89.423,73.887,0.0,60.455,69.96,76.567,75.273,95.731,70.965,95.787,70.151,69.79,95.879,75.289,70.157
cap_biomass_CHP_CC [GW],0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.005,0.425,0.0,0.0,0.0,0.0,0.0,0.0,1.843,0.0,0.0,0.0,0.0,0.018,0.014,0.003,0.0,0.0,0.004,0.002,1.792,0.0,0.0,0.0,0.0,0.574,0.0,0.0,0.002,0.0,0.004,0.0,0.0,0.0,0.0,0.654,0.019,0.0,0.0,0.0,0.0,0.013,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.493,0.0,0.0,0.0,0.64,0.005,1.841,0.0,1.839,0.0,0.0,1.829,0.003,0.0
cap_biomass_CHP [GW],0.0,0.0,0.0,0.0,0.0,0.0,38.823,0.0,0.0,0.0,38.805,36.958,0.0,0.0,0.0,0.0,0.0,0.0,35.882,0.0,0.0,0.0,0.0,36.349,36.346,38.773,0.0,0.0,38.781,39.609,35.938,0.0,0.0,0.0,0.0,36.726,0.0,0.0,39.55,0.0,39.56,0.0,0.0,0.0,0.0,36.606,36.341,0.0,0.0,0.0,0.0,36.351,0.0,36.354,0.0,0.0,0.0,0.0,0.0,0.0,38.82,36.85,0.0,0.0,0.0,36.636,39.536,35.884,0.0,35.885,0.0,0.0,35.895,39.607,0.0
unintended_storage_cycling [%],25.121,0.014,0.187,0.967,0.061,13.865,32.882,0.063,0.896,0.217,1.145,0.01,0.725,0.022,0.034,10.414,0.041,0.071,8.354,0.045,1.733,0.139,0.04,3.375,0.173,0.662,13.343,0.042,0.881,0.158,0.134,15.245,0.86,1.262,0.06,0.147,0.341,30.012,0.196,0.04,0.375,0.998,0.904,0.497,0.011,0.095,0.584,0.152,0.011,0.085,0.015,0.344,1.151,11.415,0.016,0.051,0.274,0.021,14.897,0.487,5.716,0.048,13.305,8.474,0.89,0.238,6.078,28.57,2.263,0.816,14.328,1.636,0.186,0.221,5.784
sector,,,,T-H,,,T-H-I-B,,,T-H,T-H-I-B,T-H-I-B,T-H,,T-H,T-H,,,T-H-I-B,T-H,,T-H,,T-H-I-B,T-H-I-B,T-H-I-B,T-H,,T-H-I-B,T-H-I-B,T-H-I-B,T-H,T-H,T-H,,T-H-I-B,T-H,T-H,T-H-I-B,,T-H-I-B,T-H,,T-H,,T-H-I-B,T-H-I-B,,,T-H,,T-H-I-B,,T-H-I-B,,T-H,T-H,,,T-H,T-H-I-B,T-H-I-B,,T-H,T-H,T-H-I-B,T-H-I-B,T-H-I-B,T-H,T-H-I-B,T-H,T-H,T-H-I-B,T-H-I-B,T-H
AL0 0 X Store,109.041,28.962,28.388,76.334,28.935,28.385,72.988,38.061,122.935,118.382,76.502,72.408,87.387,75.724,69.61,106.236,39.829,40.405,96.535,76.129,119.954,73.546,37.516,118.991,111.785,69.132,99.169,34.249,77.81,133.643,69.362,105.843,125.033,97.943,39.993,81.16,119.227,85.775,123.177,66.296,131.803,102.822,117.96,87.12,38.264,78.075,113.934,41.369,26.444,80.72,74.972,108.05,44.026,94.266,78.872,75.523,71.046,24.421,124.948,104.381,68.731,71.936,68.583,90.888,82.876,85.397,117.651,114.65,86.5,79.643,103.164,78.343,73.34,134.403,109.316
AT0 0 X Store,43.366,18.54,30.791,42.04,18.815,31.367,40.168,36.928,42.492,31.078,31.553,38.97,21.507,67.112,42.542,35.968,39.775,40.387,39.929,31.511,41.459,24.875,34.931,59.769,59.441,29.832,35.291,33.469,31.382,15.15,40.317,36.642,32.18,30.759,39.927,38.462,8.27,29.909,15.6,58.636,15.26,8.231,41.619,7.833,18.447,37.188,58.599,41.167,18.273,27.618,70.89,58.377,42.704,53.807,67.246,21.25,42.213,18.452,41.72,31.81,32.761,36.773,59.249,27.021,8.37,34.735,15.69,45.444,33.424,40.589,31.083,8.261,42.394,15.186,35.252
BA0 0 X Store,116.81,19.608,29.266,85.885,21.019,30.724,87.17,38.757,131.519,131.745,94.575,77.781,111.699,83.21,75.049,120.828,39.883,40.486,89.605,120.988,130.702,109.668,38.993,112.43,105.737,85.769,113.547,35.039,95.382,108.721,69.867,119.336,142.554,110.299,40.151,94.183,139.394,96.377,108.348,72.956,115.231,117.03,125.859,99.498,20.673,83.115,106.609,42.066,18.392,128.989,84.979,103.482,55.304,91.824,87.409,106.531,75.829,18.506,134.919,112.732,84.947,80.59,75.644,100.128,93.959,98.474,106.451,110.159,97.345,85.097,120.314,83.318,79.241,113.265,121.961
BE0 0 X Store,36.055,18.547,30.381,29.828,18.811,28.416,33.48,34.67,38.709,40.319,26.734,31.728,20.549,55.722,32.564,66.298,39.73,40.35,24.251,37.679,38.053,29.971,33.53,35.127,33.178,26.399,59.832,32.224,26.878,15.151,25.145,44.501,41.894,18.313,39.901,28.371,9.585,51.671,15.874,53.175,15.501,7.246,37.824,7.926,18.437,25.731,32.78,41.222,18.267,34.721,60.052,33.593,42.676,36.229,57.304,24.102,31.96,18.445,36.197,40.842,25.636,29.13,56.115,43.081,6.916,26.169,15.74,30.513,22.099,25.382,58.207,7.727,25.553,15.349,71.486
BG0 0 X Store,117.541,42.033,28.406,81.603,38.03,28.437,72.263,37.339,130.556,81.321,81.301,53.371,81.555,77.094,71.814,97.074,39.845,40.423,100.265,60.032,129.291,64.613,37.409,102.467,98.859,74.477,91.207,33.945,81.16,74.325,72.81,70.177,82.657,102.018,40.147,58.036,116.086,79.176,70.343,69.429,73.343,102.816,125.937,86.012,54.909,74.06,100.329,41.366,38.588,65.275,78.99,95.696,46.883,85.87,82.176,68.525,71.315,41.095,135.227,71.128,72.201,54.118,70.855,60.617,82.797,67.278,73.603,113.2,95.771,94.522,93.388,78.293,84.465,74.424,100.41
CH0 0 X Store,40.463,18.182,29.619,47.794,18.813,29.048,48.936,36.196,39.984,55.607,48.179,25.943,33.671,61.418,46.698,65.651,39.742,40.337,49.515,40.852,39.282,31.088,34.051,69.395,65.998,47.339,65.183,33.039,48.781,15.135,47.798,73.822,64.056,51.382,39.907,23.666,24.401,55.57,15.333,59.833,15.197,22.928,39.002,19.706,18.146,26.901,64.888,41.227,18.277,37.717,66.826,65.378,42.725,58.079,63.337,32.249,46.72,18.448,39.517,56.988,44.234,21.331,59.98,56.851,19.885,20.88,18.146,52.958,47.136,51.318,64.475,19.657,52.404,15.119,69.438
CZ0 0 X Store,48.893,18.547,31.19,49.327,18.815,33.242,50.973,38.576,40.931,35.28,40.457,43.943,40.962,69.258,46.011,45.855,39.673,40.19,39.931,48.923,40.822,41.916,37.988,54.11,47.924,35.467,41.806,35.096,37.365,22.352,43.276,43.383,36.588,53.456,39.8,46.714,25.109,36.695,22.668,63.521,20.521,23.997,40.625,20.679,18.442,39.887,48.808,40.966,18.281,45.752,71.363,47.603,42.608,55.258,67.67,39.518,45.79,18.452,45.119,36.617,40.879,44.591,69.965,33.862,19.203,36.389,28.894,46.062,50.284,43.717,38.938,20.448,45.317,21.452,44.915
DE0 0 X Store,37.8,18.547,30.03,16.682,18.812,28.71,27.822,38.345,40.849,32.736,19.399,30.976,20.782,62.036,16.325,51.287,39.721,40.334,16.84,39.479,38.898,29.899,36.642,31.025,32.069,18.636,48.844,35.373,18.919,15.136,15.152,34.584,32.591,12.945,39.891,29.223,11.282,42.055,15.547,54.84,15.263,10.44,39.071,10.919,18.44,25.564,31.967,41.142,18.338,34.391,64.093,30.549,42.703,32.901,62.836,23.841,16.959,18.448,37.895,32.846,19.945,28.581,54.473,27.93,10.768,27.881,15.723,18.028,12.242,15.736,45.77,9.718,15.202,15.185,52.808
DK0 0 X Store,31.172,18.533,22.34,15.648,18.809,24.555,55.223,24.447,31.555,37.208,57.974,65.382,21.877,55.248,15.869,39.028,31.491,31.035,15.469,60.035,32.094,49.825,22.465,67.949,70.848,52.728,40.399,22.377,63.241,15.133,18.195,31.48,38.357,12.623,31.78,64.143,16.741,37.67,15.43,48.998,15.253,13.281,31.618,15.967,18.42,74.187,69.425,30.245,18.805,56.268,57.108,66.155,30.094,57.026,57.809,33.949,15.433,18.444,30.97,37.632,52.269,63.563,44.33,34.273,14.125,63.869,15.767,16.39,14.055,17.229,41.02,8.946,18.757,15.168,38.482
DK3 0 X Store,28.004,18.567,79.597,16.355,18.812,89.897,20.175,81.293,22.877,10.042,18.103,12.685,8.367,61.174,17.842,26.418,133.286,134.56,25.39,25.353,23.466,16.184,93.028,71.55,70.908,20.93,24.421,85.39,19.514,35.471,26.546,6.203,8.779,12.659,137.907,13.352,3.117,16.032,31.536,59.684,28.93,3.043,24.286,3.094,18.439,10.848,68.567,122.089,18.383,19.261,59.54,68.793,124.22,54.62,63.002,11.547,17.172,18.448,24.944,8.828,18.284,13.125,67.597,6.82,3.03,13.299,34.748,21.37,13.873,27.998,23.063,3.077,31.234,33.981,24.893
EE6 0 X Store,24.293,18.567,73.635,48.491,18.795,80.713,28.202,76.713,18.708,15.965,26.272,18.923,14.099,49.95,51.047,86.186,15.109,15.211,34.359,29.107,19.386,26.122,91.092,28.134,27.462,29.07,88.556,87.649,28.517,19.269,30.102,16.225,15.128,43.423,15.163,12.459,43.759,86.954,16.521,47.916,20.194,31.016,18.97,38.586,18.447,10.188,27.366,15.355,18.323,30.442,48.891,27.682,15.601,29.071,49.032,19.924,50.685,18.447,20.865,15.844,23.412,18.481,45.461,15.639,32.095,9.672,13.177,35.807,42.848,32.704,93.714,25.045,30.841,19.072,86.494
ES0 0 X Store,75.248,100.995,80.797,87.613,98.986,95.728,72.296,81.117,65.027,57.768,43.422,80.726,84.083,82.789,86.602,108.069,35.43,35.759,55.525,71.714,67.26,70.839,91.031,79.368,64.521,40.585,112.634,81.809,41.511,15.113,42.305,81.659,58.275,95.19,35.519,94.713,73.292,94.004,15.348,80.432,15.201,90.659,65.545,71.392,131.287,87.321,63.576,36.361,109.414,77.666,80.996,66.733,37.703,83.115,82.685,69.622,86.6,116.796,70.382,56.424,49.47,80.993,77.584,56.495,73.58,105.712,15.85,67.085,91.224,52.291,116.841,75.194,48.198,15.135,109.636
ES2 0 X Store,68.032,97.108,71.524,84.116,94.658,84.015,61.273,68.539,59.67,43.861,41.414,68.401,75.334,75.946,82.811,93.851,39.614,40.08,59.04,65.174,62.96,66.141,76.625,93.418,74.926,39.619,95.833,75.489,39.8,15.17,50.021,64.958,47.154,89.577,39.744,84.037,71.942,86.256,15.337,69.438,15.214,84.603,60.954,70.841,114.922,78.074,72.01,40.884,103.484,66.896,70.708,79.55,42.595,85.764,74.079,67.822,82.939,110.664,65.219,44.25,45.742,70.584,64.716,47.766,72.84,88.107,15.603,68.008,83.925,59.342,99.339,73.221,55.143,15.189,94.001
FI3 0 X Store,31.534,18.561,12.217,13.634,18.615,12.393,22.671,12.137,18.602,6.209,21.355,24.23,3.478,38.161,15.351,51.053,15.609,15.671,29.393,3.067,19.681,3.21,12.093,32.572,31.08,23.536,54.507,12.089,22.529,6.05,27.806,6.118,6.038,12.695,15.677,14.545,17.525,51.601,6.063,35.277,6.042,18.538,18.532,17.487,18.48,10.927,30.88,16.125,18.301,3.089,39.604,31.553,17.451,32.431,41.621,3.333,14.65,18.435,23.544,6.207,20.798,22.71,37.124,6.063,16.756,10.46,6.114,32.676,11.64,29.182,57.523,21.59,28.267,6.091,57.089
FR0 0 X Store,36.532,18.547,30.525,45.38,18.812,28.588,26.863,39.051,40.445,43.527,20.88,23.706,30.375,57.599,44.489,77.118,39.748,40.386,31.423,43.122,37.685,32.548,37.437,20.002,13.47,20.229,70.109,35.256,20.387,15.153,33.416,53.911,42.426,42.746,39.91,23.017,14.928,58.003,15.888,55.855,15.442,13.882,38.896,14.995,18.44,25.123,13.244,41.487,18.29,40.642,64.796,15.059,42.711,21.769,60.366,30.922,44.68,18.449,37.387,44.262,21.084,22.423,58.212,44.806,14.026,22.51,16.058,35.96,45.226,33.92,66.549,14.034,35.227,15.241,78.19
GB4 0 X Store,24.584,27.129,26.928,28.502,30.388,22.1,59.284,38.041,36.313,34.968,55.402,35.375,12.568,40.457,27.78,61.765,39.866,40.16,3.129,36.444,26.295,32.88,43.803,12.382,15.512,55.32,58.017,46.25,54.291,18.221,15.334,23.498,33.632,8.772,39.88,26.546,36.432,47.073,11.371,39.1,15.378,20.705,32.657,34.925,30.752,13.975,17.377,40.956,29.748,36.118,44.587,13.14,42.613,10.277,43.92,24.986,27.993,31.731,23.96,34.26,56.9,35.376,39.048,25.656,31.375,17.807,9.258,3.116,19.682,9.076,59.623,16.877,10.781,16.289,60.097
GB5 0 X Store,36.372,18.533,27.027,33.575,18.809,25.294,6.157,36.603,47.296,42.981,7.806,13.899,6.395,45.062,42.863,72.027,39.692,40.327,14.994,18.924,46.724,11.416,39.354,6.19,6.208,7.378,62.203,40.607,7.394,16.082,27.66,47.968,43.932,23.838,39.879,10.349,7.357,44.495,15.748,44.285,15.445,3.871,48.763,6.948,18.42,6.427,7.534,40.956,18.805,17.242,44.903,4.424,42.672,6.348,45.019,8.789,41.436,18.444,40.934,43.246,7.074,12.451,39.107,45.258,4.457,7.954,16.399,10.018,31.422,19.389,52.674,3.076,27.856,15.947,73.609
GR0 0 X Store,103.335,102.981,29.745,72.942,106.26,25.685,69.367,34.095,113.906,47.707,75.48,49.359,58.464,63.531,67.914,96.317,39.729,40.343,96.207,50.692,111.27,50.318,34.025,107.393,102.629,70.918,91.015,34.662,77.775,40.167,66.687,37.477,45.778,93.505,39.916,53.744,108.595,77.091,39.194,59.182,35.123,94.705,110.625,82.022,142.222,61.243,104.727,41.271,112.336,51.763,64.939,99.311,43.289,85.112,69.711,49.749,67.615,127.279,117.168,45.406,66.913,49.821,61.785,35.304,78.915,59.774,48.066,116.021,86.566,79.072,90.844,74.321,72.337,39.97,99.092
